"Default Configuration","Allgemeine Einstellungen"
"Extend Registration:","Registrierung erweitern:"
"No","Nein",
"Optional Address (default)","Ja, Adressangabe optional (Standard)"
"Forced Address","Ja, Adressangabe erzwingen"
