MANUFACTURER,FAMILY,MODEL,IDPICTURE
HP,LaserJet M,LaserJet M 5025 MFP,10692
HP,LaserJet M,LaserJet M 5035 MFP,10692
HP,LaserJet M,LaserJet M 5035 X MFP,10692
HP,LaserJet M,LaserJet M 5035 XS MFP,10692
HP,LaserJet M,LaserJet M 3035 MFP,10691
HP,LaserJet M,LaserJet M 3027 MFP,10691
HP,LaserJet M,LaserJet M 3035 xs MFP,10691
HP,LaserJet M,LaserJet M 3027 X MFP,10691
HP,LaserJet P,LaserJet P 3005,10695
HP,LaserJet P,LaserJet P 3005 D,10695
HP,LaserJet P,LaserJet P 3005 DN,10695
HP,LaserJet P,LaserJet P 3005 N,10695
HP,LaserJet P,LaserJet P 3005 X,10695
HP,Color LaserJet,Color LaserJet CM 3530 FS MFP,21613
HP,LaserJet M,LaserJet M 2727 NFS MFP,14865
HP,Color LaserJet,Color LaserJet CP 3525,21611
HP,Color LaserJet,Color LaserJet CM 3530 MFP,21613
HP,Color LaserJet,Color LaserJet CP 3525 N,21611
HP,Color LaserJet,Color LaserJet CP 3525 X,21611
