sku,model
TN1050,Brother DCP1512
TN1050RT,Brother DCP1512
DR1050,Brother DCP1512A
DR1050RT,Brother DCP1512A
TN-1050RT,Brother DCP1512A
TN1050,Brother DCP1512A
TN1050RT,Brother DCP1512A
LC970BK,Brother DCP153C
LC970BKT,Brother DCP153C
LC970C,Brother DCP153C
LC970CT,Brother DCP153C
LC970M,Brother DCP153C
LC970MT,Brother DCP153C
LC970VALBP,Brother DCP153C
LC970Y,Brother DCP153C
LC970YT,Brother DCP153C
LC970BK,Brother DCP157C
LC970BKT,Brother DCP157C
LC970C,Brother DCP157C
LC970CT,Brother DCP157C
LC970M,Brother DCP157C
LC970MT,Brother DCP157C
LC970VALBP,Brother DCP157C
LC970Y,Brother DCP157C
LC970YT,Brother DCP157C
LC980BK,Brother DCP160
LC980BK-4PK,Brother DCP160
LC980BKT,Brother DCP160
LC980C,Brother DCP160
LC980CT,Brother DCP160
LC980M,Brother DCP160
LC980MT,Brother DCP160
LC980VALBP,Brother DCP160
LC980VALBPRF,Brother DCP160
LC980Y,Brother DCP160
LC980YT,Brother DCP160
DR1050RT,Brother DCP1600Series
TN1050RT,Brother DCP1600Series
DR1050,Brother DCP1601
DR1050RT,Brother DCP1601
TN-1050RT,Brother DCP1601
TN1050,Brother DCP1601
TN1050RT,Brother DCP1601
DR1050,Brother DCP1610W
DR1050RT,Brother DCP1610W
TN-1050RT,Brother DCP1610W
TN1050,Brother DCP1610W
TN1050RT,Brother DCP1610W
DR1050,Brother DCP1610WE
DR1050RT,Brother DCP1610WE
TN1050,Brother DCP1610WE
TN1050RT,Brother DCP1610WE
DR1050,Brother DCP1612W
DR1050RT,Brother DCP1612W
TN-1050RT,Brother DCP1612W
TN1050,Brother DCP1612W
TN1050RT,Brother DCP1612W
DR1050,Brother DCP1616NW
DR1050RT,Brother DCP1616NW
TN-1050RT,Brother DCP1616NW
TN1050,Brother DCP1616NW
TN1050RT,Brother DCP1616NW
LC980BK,Brother DCP163C
LC980BK-4PK,Brother DCP163C
LC980BKBPRF,Brother DCP163C
LC980BKT,Brother DCP163C
LC980C,Brother DCP163C
LC980CT,Brother DCP163C
LC980M,Brother DCP163C
LC980MT,Brother DCP163C
LC980VALBP,Brother DCP163C
LC980VALBPRF,Brother DCP163C
LC980Y,Brother DCP163C
LC980YT,Brother DCP163C
LC980BK,Brother DCP165C
LC980BK-4PK,Brother DCP165C
LC980BKBPRF,Brother DCP165C
LC980BKT,Brother DCP165C
LC980C,Brother DCP165C
LC980CT,Brother DCP165C
LC980M,Brother DCP165C
LC980MT,Brother DCP165C
LC980VALBP,Brother DCP165C
LC980VALBPRF,Brother DCP165C
LC980Y,Brother DCP165C
LC980YT,Brother DCP165C
LC980BK,Brother DCP167C
LC980BK-4PK,Brother DCP167C
LC980BKBPRF,Brother DCP167C
LC980BKT,Brother DCP167C
LC980C,Brother DCP167C
LC980CT,Brother DCP167C
LC980M,Brother DCP167C
LC980MT,Brother DCP167C
LC980VALBP,Brother DCP167C
LC980VALBPRF,Brother DCP167C
LC980Y,Brother DCP167C
LC980YT,Brother DCP167C
LC1100BK,Brother DCP185C
LC1100BKBP2,Brother DCP185C
LC1100BKBPRF,Brother DCP185C
LC1100BKT,Brother DCP185C
LC1100BKT-PR8,Brother DCP185C
LC1100C,Brother DCP185C
LC1100CT,Brother DCP185C
LC1100M,Brother DCP185C
LC1100MT,Brother DCP185C
LC1100VALBP,Brother DCP185C
LC1100VALBPRF,Brother DCP185C
LC1100Y,Brother DCP185C
LC1100YT,Brother DCP185C
LC980BK,Brother DCP190
LC980BK-4PK,Brother DCP190
LC980BKT,Brother DCP190
LC980C,Brother DCP190
LC980CT,Brother DCP190
LC980M,Brother DCP190
LC980MT,Brother DCP190
LC980VALBP,Brother DCP190
LC980VALBPRF,Brother DCP190
LC980Y,Brother DCP190
LC980YT,Brother DCP190
LC980BK,Brother DCP195C
LC980BK-4PK,Brother DCP195C
LC980BKBPRF,Brother DCP195C
LC980BKT,Brother DCP195C
LC980C,Brother DCP195C
LC980CT,Brother DCP195C
LC980M,Brother DCP195C
LC980MT,Brother DCP195C
LC980VALBP,Brother DCP195C
LC980VALBPRF,Brother DCP195C
LC980Y,Brother DCP195C
LC980YT,Brother DCP195C
LC980BK,Brother DCP197C
LC980BK-4PK,Brother DCP197C
LC980BKBPRF,Brother DCP197C
LC980BKT,Brother DCP197C
LC980C,Brother DCP197C
LC980CT,Brother DCP197C
