Customer Number,Rep Code,,,,,
1014,9,,,,,
1021,9,,,,,
1024,9,,,,,
1036,9,,,,,
1043,9,,,,,
1060,9,,,,,
1089,9,,,,,
1090,9,,,,,
1091,9,,,,,
1097,9,,,,,
3571,9,,,,,
7351,9,,,,,
173242,9,,,,,
173337,9,,,,,
173399,9,,,,,
173600,9,,,,,
173604,9,,,,,
173888,9,,,,,
174081,9,,,,,
174685,9,,,,,
174686,9,,,,,
174688,9,,,,,
175075,9,,,,,
175138,9,,,,,
175393,9,,,,,
175488,9,,,,,
175492,9,,,,,
175591,9,,,,,
175904,9,,,,,
175999,9,,,,,
177133,9,,,,,
177209,9,,,,,
177224,9,,,,,
177775,9,,,,,
177812,9,,,,,
178891,9,,,,,
179963,9,,,,,
180267,9,,,,,
180797,9,,,,,
181934,9,,,,,
181936,9,,,,,
181948,9,,,,,
181952,9,,,,,
182275,9,,,,,
182646,9,,,,,
183360,9,,,,,
183499,9,,,,,
183642,9,,,,,
183643,9,,,,,
184168,9,,,,,
184283,9,,,,,
186954,9,,,,,
187230,9,,,,,
189155,9,,,,,
189179,9,,,,,
189186,9,,,,,
195027,9,,,,,
311,14,,,,,
412,14,,,,,
677,14,,,,,
177799,14,,,,,
252,14,,,,,
271,14,,,,,
807,14,,,,,
399,14,,,,,
57,14,,,,,
537,14,,,,,
173402,14,,,,,
130,14,,,,,
666,14,,,,,
64,14,,,,,
513,14,,,,,
323,14,,,,,
848,14,,,,,
531,14,,,,,
173795,14,,,,,
208,14,,,,,
173377,14,,,,,
264,14,,,,,
334,14,,,,,
424,14,,,,,
173928,14,,,,,
131,14,,,,,
492,14,,,,,
811,14,,,,,
300,14,,,,,
173347,14,,,,,
809,14,,,,,
450,14,,,,,
889,14,,,,,
173378,14,,,,,
183659,14,,,,,
177928,14,,,,,
1075,14,,,,,
164,14,,,,,
183351,14,,,,,
178796,14,,,,,
466,14,,,,,
173326,14,,,,,
417,14,,,,,
174108,14,,,,,
173395,14,,,,,
385,14,,,,,
86,14,,,,,
37,14,,,,,
457,14,,,,,
178775,14,,,,,
380,14,,,,,
177225,14,,,,,
132,14,,,,,
232,14,,,,,
173725,14,,,,,
251,14,,,,,
185905,14,,,,,
897,14,,,,,
179477,14,,,,,
327,14,,,,,
173401,14,,,,,
174870,14,,,,,
510,14,,,,,
173346,14,,,,,
115,14,,,,,
950,14,,,,,
52,14,,,,,
865,14,,,,,
845,14,,,,,
59,14,,,,,
863,14,,,,,
758,14,,,,,
133,14,,,,,
173411,14,,,,,
190370,14,,,,,
136,14,,,,,
154,14,,,,,
278,14,,,,,
750,14,,,,,
176001,14,,,,,
400,14,,,,,
173951,14,,,,,
200,14,,,,,
174087,14,,,,,
740,14,,,,,
324,14,,,,,
353,14,,,,,
173742,14,,,,,
173912,14,,,,,
173375,14,,,,,
151,14,,,,,
487,14,,,,,
194289,14,,,,,
158,14,,,,,
190719,14,,,,,
301,14,,,,,
152,14,,,,,
46,14,,,,,
189159,14,,,,,
495,14,,,,,
173408,14,,,,,
173398,14,,,,,
175303,14,,,,,
187834,14,,,,,
494,14,,,,,
174,14,,,,,
173608,14,,,,,
173421,14,,,,,
219,14,,,,,
445,14,,,,,
522,14,,,,,
173818,14,,,,,
174872,14,,,,,
233,14,,,,,
173383,14,,,,,
173381,14,,,,,
595,14,,,,,
229,14,,,,,
181508,14,,,,,
268,14,,,,,
303,14,,,,,
174482,14,,,,,
25,14,,,,,
173605,14,,,,,
175143,14,,,,,
99,14,,,,,
453,14,,,,,
26,14,,,,,
220,14,,,,,
175857,14,,,,,
391,14,,,,,
1011,14,,,,,
420,14,,,,,
1019,14,,,,,
526,14,,,,,
443,14,,,,,
129,14,,,,,
684,14,,,,,
28,14,,,,,
225,14,,,,,
174096,14,,,,,
316,14,,,,,
